# ----------------------------------------
# Landing page: Landing page
# Account: Denver Streets Partnership
# Property: Denver Streets Partnership
# ----------------------------------------
# 
# All Users
# Start date: 20260506
# End date: 20260602
Landing page,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/project/page/3,1,1,1,0,0,0,0
/project/page/4,1,1,1,0,0,0,0
/project/pedestrian-advocates-say-street-design-plays-a-role-in-crashes,1,1,1,3,0,0,0
/project/press-release-2022-08-17-west-denver-rising-viaduct-night-market-august-20,1,1,1,19,0,0,0
/project/reimagine-west-colfax,1,1,1,35,0,0,0
/project/rtd-2022-budget-comments,1,1,1,2,0,0,0
/project/shared-streets-and-neighborhood-bikeways-diverters,1,1,1,9,0,0,0
/project/temporary-and-pop-up-bike-ped-infrastructure-measure-impact-and-make-it-count,1,1,1,0,0,0,0
/project/trevista-elementary-mural,1,1,1,3,0,0,0
/project/valverde-elementary-school-intersection-mural,1,1,0,6,0,0,0
/project/vision-zero-community-program-303-artway-project-northeast-park-hill,1,1,1,454,0,0,0
/project/washington-street-study,1,1,1,7,0,0,0
/project/wins-wrecks-for-vision-zero,1,1,1,5,0,0,0
/project_category/media/page/2,1,1,1,0,0,0,0
/project_category/miscellaneous,1,1,1,0,0,0,0
/project_tag/cdot,1,1,1,35,0,0,0
/project_tag/colfax,1,1,1,6,0,0,0
/project_tag/corridor-transformation,1,1,1,551,0,0,0
/project_tag/corridor-transformation/page/2,1,1,1,0,0,0,0
/project_tag/sidewalks,1,1,1,0,0,0,0
/project_tag/transit,1,1,1,0,0,0,0
/project_tag/transit/page/2,1,1,1,3,0,0,0
/project_tag/vision-zero/page/2,1,1,1,0,0,0,0
/streetsblog-denver,1,1,0,9,0,0,0
/tag/transit,1,1,1,0,0,0,0
/traffic-calming-14th-ave,1,1,0,5,0,0,0
/welcoming-our-new-teammates,1,1,0,59,0,0,0
/west-area-draft-plan,1,1,1,25,0,0,0
/whats-a-neighborhood-bikeway-and-why-might-you-want-one-in-your-neighborhood,1,1,1,17,0,0,0
